,index,videoId,title,channelId,channel,description,publication_date,duration,view_count,like_count,comment_count,tags
0,"«Je suis pour la pureté des moments», comment Boby photographie les manifestations - Libération",pSalnABRLwE,"«Je suis pour la pureté des moments», comment Boby photographie les manifestations",UC9x4Iyu-D257P0P-VDRwSzw,Libération,"Avec 1,12 à 2 millions de manifestants dans la rue (entre 80 000 et 500 000 à Paris), la contestation contre la réforme des retraites a été particulièrement suivie ce 19 janvier. Pour l’occasion, Libération a envoyé trois photojournalistes dont Boby qui avait la charge de photographier les femmes présentes dans le cortège.
Dans cet entretien, notre photoreporter explique comment il a vécu la couverture de cette manifestation. Entre le cliché d’un homme brandissant un fumigène sur un abribus et la prise de vue d’un couple s’embrassant dans l’encadrement d’un panneau publicitaire brisé, il revient également sur ses clichés les plus marquants.
#photographie #manifestation #boby 
Abonnez-vous au journal Libération 👉 http://abo.liberation.fr

Suivez Libé sur Facebook 👉 http://fb.com/liberation 
Suivez Libé sur Twitter 👉 http://twitter.com/libe
Suivez Libé sur Instagram 👉 http://instagram.com/liberationfr",2023-01-21T11:00:36Z,PT3M8S,351,15,1,"['Libération', 'Libé', 'journal', 'presse', 'newspaper', 'press', 'information', 'news', 'info', 'actu', 'journalisme', 'journalism', 'journaliste', 'journalist', 'boby', 'photographe boby', 'boby photo', 'boby photographe', 'manifestation 19 janvier 2023', 'manifestation', 'manifestation réforme des retraites', 'réforme des retraites', 'réformes des retraites 2023', 'borne', 'élisabeth borne', 'photographie']"
1,Pourquoi les intelligences artificielles mettent en péril les artistes - Libération,MMpAWKy7G-M,Pourquoi les intelligences artificielles mettent en péril les artistes,UC9x4Iyu-D257P0P-VDRwSzw,Libération,"Dessiner un chien avec des lunettes de soleil qui fait du skateboard, c’est désormais possible en un clic grâce aux multiples intelligences artificielles qui fleurissent sur internet. Mais les IA ne créent pas ces images «ex nihilo». Pour les réaliser, elles ont entraîné leurs algorithmes sur des bases de données texte-images. Le problème, c’est que la plupart de ces bases de données remplies d’œuvres d’artistes ont été initialement constituées sans l’autorisation des créateurs.

#intelligenceartificielle #artiste
Abonnez-vous au journal Libération 👉 http://abo.liberation.fr

Suivez Libé sur Facebook 👉 http://fb.com/liberation 
Suivez Libé sur Twitter 👉 http://twitter.com/libe
Suivez Libé sur Instagram 👉 http://instagram.com/liberationfr",2023-01-18T18:00:09Z,PT3M8S,891,23,0,"['Libération', 'Libé', 'journal', 'presse', 'newspaper', 'press', 'information', 'news', 'info', 'actu', 'journalisme', 'journalism', 'journaliste', 'journalist', 'intelligence artificielle', 'ia', 'artiste', 'artistes', ""droit d'auteur"", ""ia droit d'auteur"", 'intelligence artificielle dessin', 'dessin', 'dessin intelligence artificielle', ""droit d'auteur intelligence artificielle"", 'dall e', 'dall e ia', 'dall e intelligence artificielle']"
2,Pourquoi la réforme des retraites de Borne est une erreur - Libération,90A08UzQ1bM,Pourquoi la réforme des retraites de Borne est une erreur,UC9x4Iyu-D257P0P-VDRwSzw,Libération,"A en croire l’exécutif, le report de l’âge légal de départ à la retraite serait la seule manière de «sauver» le système de répartition, menacé par des déficits qu’il estime massifs. Les syndicats, eux, ne partagent pas ce constat. Mais depuis le mois d’octobre, ils ont joué le jeu de la concertation en proposant au gouvernement des pistes de financement alternatives. Améliorer l’emploi des seniors, atteindre l’égalité salariale entre les hommes et les femmes, relever les cotisations salariales et plus encore patronales, revenir sur des exonérations dont bénéficient des employeurs.

Dans cette vidéo, Frantz Durupt, journaliste au service France, décrypte ces pistes qui s’appuient sur des travaux d’économistes ou des rapports gouvernementaux, mais que l’exécutif a écartées. Résultat : ce mardi, après la présentation de la réforme par Elisabeth Borne, les huit principaux syndicats de France, de la CFDT à la CGT, vont s’afficher unis contre son projet.

#Retraites #reformedesretraites #Politique

Abonnez-vous au journal Libération 👉 http://abo.liberation.fr

Suivez Libé sur Facebook 👉 http://fb.com/liberation 
Suivez Libé sur Twitter 👉 http://twitter.com/libe
Suivez Libé sur Instagram 👉 http://instagram.com/liberationfr",2023-01-10T14:59:33Z,PT1M40S,3683,72,28,"['Libération', 'Libé', 'journal', 'presse', 'newspaper', 'press', 'information', 'news', 'info', 'actu', 'journalisme', 'journalism', 'journaliste', 'journalist', 'retraites', 'réforme des retraites', 'age de départ', 'age de départ à la retraite', 'cotisation', 'cotisation retraite', 'franz durupt', 'elisabeth borne', 'emmanuel macron', 'gouvernement', 'syndicats', 'politique', 'trimestres', 'senior', 'travail', 'pénibilité', 'social']"
3,Comment Booktok fait s’écouler les livres - Libération,An9rUSGRTyE,Comment Booktok fait s’écouler les livres,UC9x4Iyu-D257P0P-VDRwSzw,Libération,"88 milliards de vues dans le monde. C’est ce que génère le hashtag BookTok sur l’application TikTok. Ce nombre impressionnant illustre bien le phénomène de cette critique littéraire 2.0. Le plus souvent apanage de jeunes filles qui racontent leurs coups de cœur de lecture avec force d’émotivité, BookTok joue sur l’effet de groupe pour prospérer. Et les conséquences vont parfois au-delà de toute conjecture. Ainsi une vidéo peut vite devenir virale et faire considérablement augmenter les ventes d’un livre, et les exemples ne manquent pas. Au reste, des auteurs comme Riad Sattouf ou Joël Dicker investissent eux aussi le réseau social dans le but d’y dévoiler une part d’intime à cette communauté nouvelle, avide de coulisses en tous genres, mais aussi plus prosaïquement pour échanger avec elle.

Dans cette vidéo, la journaliste au service Livres Charline Guerton-Delieuvin nous explique ce qu’est BookTok et pourquoi ce phénomène tranche avec la critique littéraire classique. Elle raconte qu’au vu du succès et de la manne financière potentielle, Editis, l’un des plus gros éditeurs français, a décidé de proposer des formations TikTok aux différents acteurs du livre, libraires comme éditeurs. Notre journaliste décrypte cette tendance en se demandant si c’est une manifestation d’un retour en force de la lecture chez les jeunes ou au contraire un épiphénomène.

#booktok #tiktok #livre 
Abonnez-vous au journal Libération 👉 http://abo.liberation.fr

Suivez Libé sur Facebook 👉 http://fb.com/liberation 
Suivez Libé sur Twitter 👉 http://twitter.com/libe
Suivez Libé sur Instagram 👉 http://instagram.com/liberationfr",2023-01-05T17:00:05Z,PT2M8S,722,16,0,"['Libération', 'Libé', 'journal', 'presse', 'newspaper', 'press', 'information', 'news', 'info', 'actu', 'journalisme', 'journalism', 'journaliste', 'journalist', 'booktok', 'tiktok', 'book', 'livres', 'romance', 'jeunesse', 'genre littéraire', 'jeune', 'jeune public', 'adolescent', 'critique littéraire', 'roman jeunesse', ""maison d'édition"", 'editis', 'riad sattouf', 'joel dicker', ""cahiers d'esther"", 'booktokeuse', 'libraires', 'librairies', 'coup de coeur', 'tendance', 'phénomène', 'application', 'créateur de contenu', 'influenceur', 'france', 'monde', 'partenariat', 'auteur', 'écrivain', 'coulisses', 'ado']"
4,"Au collège Berlioz à Paris, un pari de mixité sociale et scolaire réussi - Libération",Zc4CL36dPZA,"Au collège Berlioz à Paris, un pari de mixité sociale et scolaire réussi",UC9x4Iyu-D257P0P-VDRwSzw,Libération,"Berlioz est devenu un collège «normal», comme le disent ses propres élèves. Pourtant, c’était loin d’être gagné au départ. Ce collège situé dans un quartier du XVIIe arrondissement parisien, tout près du périphérique, souffrait d’une très mauvaise réputation. Et pour cause : l’établissement s’était transformé en un véritable ghetto scolaire dans lequel se concentraient toutes les difficultés sociales. Résultat, les familles de milieux favorisés fuyaient le collège, entretenant ce cercle vicieux. Mais en 2017, une expérimentation menée par la mairie et l’académie de Paris – sous l’impulsion de l’ancienne ministre de l’Education Najat Vallaud-Belkacem – va tout changer. Berlioz est couplé avec le collège Coysevox, situé à 600 mètres de là et dont la composition sociale est à l’extrême opposé de Berlioz, avec une grande majorité d’élèves de milieux favorisés. Les élèves du quartier n’ont depuis pas un seul mais deux collèges de secteur. A leur entrée en sixième, ces derniers entrent au collège Berlioz les années paires et à Coysevox les années impaires.

Dans cette vidéo, la journaliste au service Société Cécile Bourgneuf nous raconte la genèse de cette expérimentation et ses résultats aujourd’hui. Ce mariage forcé, qui a provoqué au départ l’ire de nombreux parents du côté de Coysevox, est désormais une évidence. Même cette mixité sociale scolaire demande un travail au quotidien pour rassurer les parents et faire travailler les enfants dans les meilleures conditions possibles.

#mixité #scolaire #collège
Abonnez-vous au journal Libération 👉 http://abo.liberation.fr

Suivez Libé sur Facebook 👉 http://fb.com/liberation 
Suivez Libé sur Twitter 👉 http://twitter.com/libe
Suivez Libé sur Instagram 👉 http://instagram.com/liberationfr",2022-12-31T12:30:18Z,PT4M7S,2425,22,58,"['Libération', 'Libé', 'journal', 'presse', 'newspaper', 'press', 'information', 'news', 'info', 'actu', 'journalisme', 'journalism', 'journaliste', 'journalist', 'collège', 'mixité', 'mixité scolaire', 'collège berlioz', 'collège coysevox', 'berlioz', '18ème arrondissement', 'paris', 'ségrégation', 'ségrégation scolaire', 'ghettoisation', 'ghettoisation scolaire', 'école', 'professeur', 'principal', 'récréation', 'collège public', 'ghetto scolaire', 'mixité sociale', 'collège de secteur', 'élève', 'origine', ""ouverture d'esprit"", 'pédagogie', 'travail', 'résulat scolaire', 'brevet', 'parisien']"
5,Dix unes de Libé pour raconter 2022 - Libération,F7xOb7mqsVI,Dix unes de Libé pour raconter 2022,UC9x4Iyu-D257P0P-VDRwSzw,Libération,"En février, c’est une première digue qui saute lorsque l’Ukraine est attaquée par son voisin russe. Puis vient la découverte quelques semaines plus tard d’un véritable charnier à Boutcha, où des dizaines de corps de civils ukrainiens sont retrouvés. En mai, malgré la peur de plus en plus prégnante d’une extrême droite au pouvoir, c’est finalement Macron qui est réélu, notamment grâce aux voix de la gauche. Aux Etats-Unis, la Cour suprême décide en juin de restreindre drastiquement le droit à l’avortement en laissant les différents Etats libres de légiférer en la matière. Un autre point de non-retour semble être atteint pendant l’été quand inondations, sécheresses, incendies et canicules se multiplient partout dans le monde. A la rentrée, c’est l’Iran qui se soulève contre le régime et crie sa soif de liberté. En octobre, Annie Ernaux remporte le Prix Nobel de littérature. Deux mois plus tard, on assiste à une finale de Coupe du Monde de légende entre l’Argentine et la France. Pendant ce temps-là, comme pour clore une année décidément pas des plus réjouissantes, onze Iraniens sont condamnés à morts pour avoir osé défier les autorités, coupables d’avoir pris part aux manifestations.
Dans cette vidéo, la directrice adjointe de Libération Alexandra Schwartzbrod raconte 2022 en revenant sur dix des unes du journal les plus marquantes de l’année. Elle explique comment partout sur la planète, politique, géopolitique et écologie ont rythmé ces douze derniers mois.

#2022 #retrospective #unes 
Abonnez-vous au journal Libération 👉 http://abo.liberation.fr

Suivez Libé sur Facebook 👉 http://fb.com/liberation 
Suivez Libé sur Twitter 👉 http://twitter.com/libe
Suivez Libé sur Instagram 👉 http://instagram.com/liberationfr",2022-12-27T19:33:37Z,PT3M4S,696,13,0,"['Libération', 'Libé', 'journal', 'presse', 'newspaper', 'press', 'information', 'news', 'info', 'actu', 'journalisme', 'journalism', 'journaliste', 'journalist', '2022', 'rétrospective', 'flash-back', 'ukraine', 'kyiv', 'russie', 'moscou', 'guerre', 'armée', 'zelensky', 'poutine', 'boutcha', 'morts', 'macron', 'le pen', 'élections présidentielles', 'avortement', 'etats-unis', 'usa', 'biden', 'cour suprême', 'canicule', 'inondation', 'sécheresse', 'incendie', 'france', 'iran', 'peuple', 'manifestations', 'mollah', 'ayatollah', 'khamenei', 'argentine', 'messi', 'mbappé', 'mondial', 'qatar', 'coupe du monde', 'prix nobel', 'annie ernaux', 'foot']"
6,"Gaspard Ulliel, Elizabeth II... Les 10 grands disparus de l’année 2022 - Libération",FqCBsdywvqk,"Gaspard Ulliel, Elizabeth II... Les 10 grands disparus de l’année 2022",UC9x4Iyu-D257P0P-VDRwSzw,Libération,"Mort dans un accident de ski à 37 ans le 19 janvier, Gaspard Ulliel était un acteur a qui tout semblait promis. Il était le Saint Laurent de Bertrand Bonello, il avait été récompensé d’un césar en 2016 et son décès a suscité l’émotion dans la France entière. Comme lui, plus d’une dizaine de personnalités célèbres se sont éteintes cette année et ont fait la une de Libération.
#gaspardulliel #elizabethII #godard 
Abonnez-vous au journal Libération 👉 http://abo.liberation.fr

Suivez Libé sur Facebook 👉 http://fb.com/liberation 
Suivez Libé sur Twitter 👉 http://twitter.com/libe
Suivez Libé sur Instagram 👉 http://instagram.com/liberationfr",2022-12-23T17:30:01Z,PT5M1S,3423,26,5,"['Libération', 'Libé', 'journal', 'presse', 'newspaper', 'press', 'information', 'news', 'info', 'actu', 'journalisme', 'journalism', 'journaliste', 'journalist', 'gaspard ulliel', 'elisabeth 2', 'elisabeth II', 'godard', 'jean luc godard', 'Sempé', 'mort sempé', 'mort', 'morts', 'disparu', 'disparus', 'une libération', 'libération', 'une', 'unes', 'gorbatchev']"
7,Bulles bio et féminines : un champagne militant pour Noël est-il possible ? - Libération,MjUTtINVUsA,Bulles bio et féminines : un champagne militant pour Noël est-il possible ?,UC9x4Iyu-D257P0P-VDRwSzw,Libération,"En grande surface ou chez votre caviste, devant la multitude de choix de champagnes, il est possible de s’y perdre. Libération vous aide à y voir plus clair. La Maison Fleury, Marie Copinet, la Famille Tarlant, Julie Dufour, ou encore Françoise Bedel... autant de femmes vigneronnes qui gagnent à être connus. Il y a par exemple ce champagne blanc de blancs aux notes de levures et de brioche, ou cet autre, soyeux, qui donne une impression de craie, quand un dernier évoque en bouche les agrumes et le soleil.

Dans cette vidéo, la journaliste du service Mode de vie Marie-Eve Lacasse propose cinq champagnes pour vos fêtes de fin d’année, de 30 à 50 euros. En choisissant cinq vigneronnes qui pratiquent l’agriculture biologique, elle explique qu’il est possible de trinquer militant. Un véritable voyage pour les papilles, qui fera envie aux initiés comme aux novices.
#champagne #noel #militant 
Abonnez-vous au journal Libération 👉 http://abo.liberation.fr

Suivez Libé sur Facebook 👉 http://fb.com/liberation 
Suivez Libé sur Twitter 👉 http://twitter.com/libe
Suivez Libé sur Instagram 👉 http://instagram.com/liberationfr",2022-12-20T19:03:03Z,PT2M45S,285,4,7,"['Libération', 'Libé', 'journal', 'presse', 'newspaper', 'press', 'information', 'news', 'info', 'actu', 'journalisme', 'journalism', 'journaliste', 'journalist', 'champagne', 'vin', 'vigneron', 'vigneronne', 'bio', 'biodynamie', 'maison', 'domaine', 'cave', 'cave à vin', 'blanc de blancs', 'pinot noir', 'chardonnay', 'noel', 'bulle', 'pétillant', 'vin de repas', 'repas de noel', 'cuvée', 'brut', 'trinquer', 'boire', 'boisson', 'coiffe', 'bouteille', 'tarlant', 'cléobuline', 'maison fleury', 'françoise bedel', 'terre', 'côte des bars', 'terrain', 'vignoble', 'trinquer militant', 'champagne ardenne', 'caviste', 'magasin bio']"
8,Comment le Qatargate révèle les travers du parlement européen - Libération,ZPnGIebvxBM,Comment le Qatargate révèle les travers du parlement européen,UC9x4Iyu-D257P0P-VDRwSzw,Libération,"Le 9 décembre, la police belge perquisitionne le domicile de l’eurodéputée grecque Eva Kaili et y découvre plusieurs centaines de milliers d’euros en liquide. En pleine coupe du monde, le premier corrupteur suspecté est le Qatar, mais son implication dans cette affaire semble peu cohérente au regard de son manque d’intérêt à corrompre des députés européens.
Dans cette vidéo, le correspondant européen de Libération, Jean Quatremer, revient sur l’origine de ce Qatargate et explique en quoi cette affaire est révélatrice de la culture d’impunité et du manque de transparence qui règne au sein de l’institution européenne.
#qatar #parlementeuropéen #corruption 
Abonnez-vous au journal Libération 👉 http://abo.liberation.fr

Suivez Libé sur Facebook 👉 http://fb.com/liberation 
Suivez Libé sur Twitter 👉 http://twitter.com/libe
Suivez Libé sur Instagram 👉 http://instagram.com/liberationfr",2022-12-16T18:14:57Z,PT2M54S,49499,430,None,"['Libération', 'Libé', 'journal', 'presse', 'newspaper', 'press', 'information', 'news', 'info', 'actu', 'journalisme', 'journalism', 'journaliste', 'journalist', 'qatargate', 'qatar', 'corruption parlement', 'corruption parlement européen', 'parlement européen', 'eva kaili', 'kaili', 'corruption parlement européen eva kaili', 'corruption kaili', 'corruption qatar', 'corruption qatargate']"
9,France-Maroc : nos envoyés spéciaux au Qatar ont répondu aux questions de nos lecteurs - Libération,qzD1B_Ea-M8,France-Maroc : nos envoyés spéciaux au Qatar ont répondu aux questions de nos lecteurs,UC9x4Iyu-D257P0P-VDRwSzw,Libération,"La sélection marocaine défie mercredi soir les champions du monde français pour une place en finale de la Coupe du monde de football. Un match aux allures de David contre Goliath entre deux nations liées par l’histoire. Dans cette rediffusion du direct Instagram de Libération, nos envoyés spéciaux ont répondu aux questions de la cheffe du service société, Johanna Luyssen, et sont revenus sur cette rencontre qui signe l’avant-dernière phase de la Coupe du monde.
Grégory Schneider, spécialiste du football à Libération, et Julien Lecot, journaliste au service actu, démontrent comment les forces françaises vont faire face à la solide défense des Lions de l’Atlas. Les envoyés spéciaux concluent ce direct Instagram en donnant leurs pronostics pour cette demi-finale.
#qatar #coupedumonde #football 
Abonnez-vous au journal Libération 👉 http://abo.liberation.fr

Suivez Libé sur Facebook 👉 http://fb.com/liberation 
Suivez Libé sur Twitter 👉 http://twitter.com/libe
Suivez Libé sur Instagram 👉 http://instagram.com/liberationfr",2022-12-14T18:24:53Z,PT15M49S,401,3,10,"['Libération', 'Libé', 'journal', 'presse', 'newspaper', 'press', 'information', 'news', 'info', 'actu', 'journalisme', 'journalism', 'journaliste', 'journalist', 'qatar', 'france maroc', 'maroc france', 'france maroc match', 'qatar france maroc', 'france maroc pronostic', 'france maroc football', 'coupe du monde', 'coupe du monde 2022']"
