keyword,high_risk_of_false_positive,category,theme,language
adaptation au changement climatique,false,General,adaptation_climatique_solutions,french
adaptation au dérèglement climatique,false,General,adaptation_climatique_solutions,french
adaptation au réchauffement climatique,false,General,adaptation_climatique_solutions,french
adaptation climatique,false,General,adaptation_climatique_solutions,french
agro écologie,false,Agriculture,adaptation_climatique_solutions,french
agro écologique,false,Agriculture,adaptation_climatique_solutions,french
agroforesterie,false,Agriculture,adaptation_climatique_solutions,french
agroécologie,false,Agriculture,adaptation_climatique_solutions,french
amélioration des pratiques d’élevage,false,Agriculture,adaptation_climatique_solutions,french
améliorer les systèmes d'alerte et d'évacuation,false,General,adaptation_climatique_solutions,french
aquaculture durable,false,Agriculture,adaptation_climatique_solutions,french
arbre planté,false,Ecosystème,adaptation_climatique_solutions,french
bienfaits de la nature,false,Ecosystème,adaptation_climatique_solutions,french
bon pour la planète,false,General,adaptation_climatique_solutions,french
changer nos habitudes alimentaires,false,General,adaptation_climatique_solutions,french
désalinisation des eaux,false,Eau,adaptation_climatique_solutions,french
développement de la planète,false,General,adaptation_climatique_solutions,french
eaux usées traitées,false,Eau,adaptation_climatique_solutions,french
eco-prêt à taux zéro,false,Batiments,adaptation_climatique_solutions,french
foresterie urbaine,false,Ecosystème,adaptation_climatique_solutions,french
forêt urbaine,false,Ecosystème,adaptation_climatique_solutions,french
gestion de la ressource en eau,false,Eau,adaptation_climatique_solutions,french
gestion du littoral,false,Ecosystème,adaptation_climatique_solutions,french
gestion durable des forêts,false,Ecosystème,adaptation_climatique_solutions,french
gestion durable des terres cultivables,false,Agriculture,adaptation_climatique_solutions,french
limiter l’érosion des côtes,false,General,adaptation_climatique_solutions,french
lutte contre le gaspillage d’eau,false,Eau,adaptation_climatique_solutions,french
lutter contre l’érosion,false,General,adaptation_climatique_solutions,french
mesure environnementale,false,General,adaptation_climatique_solutions,french
nous adapter à un futur incertain,false,General,adaptation_climatique_solutions,french
plantant des arbres,false,Ecosystème,adaptation_climatique_solutions,french
plantation d'arbres,false,Ecosystème,adaptation_climatique_solutions,french
plante des arbres,false,Ecosystème,adaptation_climatique_solutions,french
plantent des arbres,false,Ecosystème,adaptation_climatique_solutions,french
planter des arbres,false,Ecosystème,adaptation_climatique_solutions,french
planté des arbres,false,Ecosystème,adaptation_climatique_solutions,french
prise de conscience environnementale,false,General,adaptation_climatique_solutions,french
prise de conscience écologique,false,General,adaptation_climatique_solutions,french
préservation de la nature,false,Ecosystème,adaptation_climatique_solutions,french
préservation de la ressource en eau,false,Eau,adaptation_climatique_solutions,french
préservation des forêts,false,Ecosystème,adaptation_climatique_solutions,french
préserver la forêt,false,Ecosystème,adaptation_climatique_solutions,french
préserver la nature,false,Ecosystème,adaptation_climatique_solutions,french
préserver les forêts,false,Ecosystème,adaptation_climatique_solutions,french
prévention des catastrophes naturelles,false,General,adaptation_climatique_solutions,french
prévention des inondations,false,General,adaptation_climatique_solutions,french
