keyword,is_empty,general,agriculture,transport,batiments,energie,industrie,eau,ecosysteme,economie_ressources
ministère de la transition écologique,true,false,false,false,false,false,false,false,false,false
40 degrés,false,true,false,false,false,false,false,false,false,false
50 degrés,false,true,false,false,false,false,false,false,false,false
a69,false,false,false,true,false,false,false,false,false,false
abeille,false,false,true,false,false,false,false,false,true,false
abondance,false,true,false,false,false,false,false,false,false,false
absorption du carbone,false,true,false,false,false,false,false,false,false,false
accès à l’eau,false,false,false,false,false,false,false,true,false,false
accord de kunming,false,false,false,false,false,false,false,false,true,false
accord de kunming-montréal,false,false,false,false,false,false,false,false,true,false
accord de paris,false,true,false,false,false,false,false,false,false,false
accueillir la faune,false,false,false,false,false,false,false,false,true,false
acide,false,true,false,false,false,false,false,false,false,false
acidification,false,false,false,false,false,false,false,false,true,false
acidification des oceans,false,false,false,false,false,false,false,false,true,false
acidification des océans,false,false,false,false,false,false,false,true,true,false
acidification des sols,false,false,false,false,false,false,false,true,true,false
acidification du milieu marin,false,false,true,false,false,false,false,false,true,false
activisme climatique,false,false,false,false,false,false,false,true,true,false
activiste pour le climat,false,true,false,false,false,false,false,false,false,false
activité industrielle,false,true,false,false,false,false,false,false,false,false
acv,false,false,false,false,false,true,true,false,false,true
adaptation au changement climatique,true,false,false,false,false,false,false,false,false,false
adaptation au dérèglement climatique,false,true,false,false,false,false,false,false,false,false
adaptation au réchauffement climatique,false,true,false,false,false,false,false,false,false,false
adaptation climatique,false,true,false,false,false,false,false,false,false,false
ademe,false,true,false,false,false,false,false,false,false,false
agence de l'eau,false,true,false,false,false,false,false,false,false,false
agence de l'environnement,false,true,false,false,false,false,false,false,false,false
agence environnementale,false,false,false,false,false,false,false,true,false,false
agences régionales de santé,true,false,false,false,false,false,false,false,false,false
agir pour le climat,true,false,false,false,false,false,false,false,false,false
agression mécanique,false,true,false,false,false,false,false,false,false,false
agribusiness,false,true,false,false,false,false,false,false,false,false
agricole,true,false,false,false,false,false,false,false,false,false
agriculteur,false,false,true,false,false,false,true,false,false,false
agriculteur bio,false,false,true,false,false,false,false,false,false,false
agriculture,false,false,true,false,false,false,false,false,false,false
agriculture bio,false,false,true,false,false,false,false,false,false,false
agriculture bio ,false,false,true,false,false,false,false,false,false,false
agriculture biologique,false,false,true,false,false,false,false,false,true,true
agriculture conventionnelle,true,false,false,false,false,false,false,false,false,false
agriculture de conservation,false,false,true,false,false,false,false,false,true,true
agriculture de conservation des sols,false,false,true,false,false,false,false,false,true,true
agriculture durable,false,false,true,false,false,false,false,false,false,false
agriculture extensive,false,false,true,false,false,false,false,false,false,false
agriculture industrielle,true,false,false,false,false,false,false,false,false,false
agriculture intensive,false,false,true,false,false,false,false,false,true,true
agriculture plus respectueuse de l’environnement ,false,false,true,false,false,false,false,false,true,false
agriculture plus verte,false,false,true,false,false,false,true,false,false,false
agriculture régénératrice,false,false,true,false,false,false,false,true,true,false
agriculture urbaine,true,false,false,false,false,false,false,false,false,false
agro écologie,false,false,true,false,false,false,false,false,false,false
agro écologique,false,false,true,false,false,false,false,false,true,false
agro-industrie,true,false,false,false,false,false,false,false,false,false
agro-industriel,false,false,true,false,false,false,false,false,true,false
agro-pastoralisme,false,false,true,false,false,false,false,false,true,false
agroalimentaire,false,false,true,false,false,false,true,false,false,false
agroécologie,false,false,true,false,false,false,true,false,false,false
agroécologique,true,false,false,false,false,false,false,false,false,false
agroforesterie,false,false,true,false,false,false,true,false,false,true
agroforestier ,false,false,true,false,false,false,false,false,true,false
air frais,true,false,false,false,false,false,false,false,false,false
aire marine protégée,false,false,true,false,false,false,false,false,true,false
aire naturelle protégée,true,false,false,false,false,false,false,false,false,false
aires protégées,false,true,false,false,false,false,false,false,false,false
ajustement carbone,false,false,false,false,false,false,false,false,true,false
aléas climatiques,false,false,false,false,false,false,false,false,true,false
algues vertes,false,false,false,false,false,false,false,false,true,false
alimentation,false,false,false,false,false,true,true,false,false,true
alimentation variée,false,true,false,false,false,false,false,false,false,false
aliments transformés,false,false,true,false,false,false,false,true,true,false
alternative,false,false,true,false,false,false,false,false,false,true
alternative durable,true,false,false,false,false,false,false,false,false,false
amélioration des pratiques d'élevage,false,false,true,false,false,false,true,false,false,false
amélioration des pratiques d’élevage,false,true,false,false,false,false,false,false,false,false
amélioration des pratiques d’élevage ,false,true,false,false,false,false,false,false,false,false
amélioration des pratiques d’élevages,false,false,true,false,false,false,false,false,false,false
améliorer la fonctionnalité des sols,false,false,true,false,false,false,false,false,false,false
améliorer les systèmes d'alerte et d'évacuation,true,false,false,false,false,false,false,false,false,false
aménagement du territoire,false,false,true,false,false,false,false,false,false,false
aménagement paysager,true,false,false,false,false,false,false,false,false,false
aménagement résilient,false,false,false,true,true,false,false,false,false,false
amnésie environnementale,false,true,false,false,false,false,false,false,false,false
amoureux de la nature,true,false,false,false,false,false,false,false,false,false
amphibien,false,false,false,false,true,true,false,false,false,true
analyse de cycle de vie,false,false,false,false,false,false,false,false,true,false
anguille,false,false,false,false,false,false,false,false,true,false
animaux sauvages,false,false,false,false,false,false,false,false,true,false
année la plus chaude,false,false,false,false,false,false,false,false,false,true
anomalie de températures,false,false,false,false,false,false,false,false,true,false
anthropocène,false,false,false,false,false,false,false,false,true,false
anti gaspi,false,true,false,false,false,false,false,false,false,false
anti gaspillage,false,true,false,false,false,false,false,false,false,false
anti-écolo,false,true,false,false,false,false,false,false,false,false
antigaspi,false,false,false,false,false,false,false,false,false,true
antigaspillage,false,false,true,false,false,false,true,false,false,true
appauvrissement des sols,false,true,false,false,false,false,false,false,false,false
approche systémique,false,false,false,false,false,false,false,false,false,true
aquaculture durable,false,false,false,false,false,false,false,false,false,true
arbre,false,false,true,false,false,false,false,false,true,false
arbre de pluie,false,true,false,false,false,false,false,false,false,false
arbre planté,false,true,false,false,false,false,false,false,false,false
arbre remarquable,false,false,true,false,false,false,false,true,false,true
arnica,false,false,false,false,false,false,false,false,true,false
arrêt des centrales nucléaires,true,false,false,false,false,false,false,false,false,false
arrêter de prendre l'avion,false,false,false,false,false,false,false,false,true,false
arrêter la déforestation,false,false,false,false,false,false,false,false,true,false
ars ,false,false,false,false,false,false,false,false,true,false
arsenic,false,false,false,false,false,true,false,false,false,false
artificialisation des milieux naturels,false,false,false,true,false,true,false,false,false,false
artificialisation des sols,true,false,false,false,false,false,false,false,false,false
asséché,true,false,false,false,false,false,false,false,false,false
asséchée,false,false,false,false,false,false,false,true,true,true
assèchement des zones humides,false,false,false,false,true,false,false,false,true,false
assécher,false,false,true,false,true,false,false,false,true,false
assolement ,false,false,false,false,false,false,false,true,true,false
atmosphère ,false,false,false,false,false,false,false,true,true,false
atteinte à la biodiversité,false,false,false,false,false,false,false,true,true,false
atténuation,false,false,false,false,false,false,false,true,true,false
atténuation du changement climatique,false,false,false,false,false,false,false,true,true,false
attirer les pollinisateurs,false,false,true,false,false,false,false,true,true,false
augmentation des précipitations,true,false,false,false,false,false,false,false,false,false
augmentation des risques de sécheresse,true,false,false,false,false,false,false,false,false,false
augmentation des températures,false,false,false,false,false,false,false,false,true,false
automobile,false,true,false,false,false,false,false,false,false,false
autorité de santé,false,true,false,false,false,false,false,false,false,false
autoroutes,false,true,false,false,false,false,false,false,false,false
aviation,true,false,false,false,false,false,false,false,false,false
avihonte,false,false,false,false,false,false,false,true,false,false
avion,false,false,false,false,false,false,false,true,false,false
avion à hydrogène,false,true,false,false,false,false,false,false,false,false
avion vert,false,false,false,true,false,false,false,false,false,false
azote,false,true,false,false,false,false,false,false,false,false
bactérie,false,false,false,true,false,false,false,false,false,false
baisse de consommation d'eau,false,false,false,true,false,false,false,false,false,false
baisse de production agricole,false,true,false,false,false,false,false,false,false,false
baisse des émissions,false,false,false,true,false,false,false,false,false,false
baisse des émissions de carbone,false,false,false,true,false,true,true,false,false,false
baisse des émissions de gaz à effet de serre,false,false,false,true,false,true,true,false,false,false
baisse des récoltes,false,false,true,false,false,false,false,false,false,false
