Chaine,Emission,Début séquence,Fin séquence,
TF1,Arts & Fenêtre,04/03/2025 13:42:25,04/03/2025 13:42:32,13:42:32
TF1,Engie,04/03/2025 13:42:32,04/03/2025 13:42:39,13:42:39
TF1,JINGLE,04/03/2025 13:42:39,04/03/2025 13:42:42,
TF1,Renault,04/03/2025 13:42:42,04/03/2025 13:43:12,
TF1,Pavé d'affinois,04/03/2025 13:43:12,04/03/2025 13:43:25,
TF1,Lu,04/03/2025 13:43:25,04/03/2025 13:43:40,
TF1,Costa,04/03/2025 13:43:40,04/03/2025 13:44:10,
TF1,Novanuit,04/03/2025 13:44:10,04/03/2025 13:44:26,
TF1,Afflelou,04/03/2025 13:44:26,04/03/2025 13:44:46,13:44:46
TF1,Président,04/03/2025 13:44:46,04/03/2025 13:45:06,13:45:06
TF1,Airbnb,04/03/2025 13:45:06,04/03/2025 13:45:37,13:45:37
TF1,Intermarché,04/03/2025 13:45:37,04/03/2025 13:46:07,13:46:07
TF1,Wolkswagen,04/03/2025 13:46:07,04/03/2025 13:46:37,13:46:37
TF1,Verisure,04/03/2025 13:46:37,04/03/2025 13:47:07,13:47:07
TF1,Dexeryl,04/03/2025 13:47:07,04/03/2025 13:47:28,13:47:28
TF1,FDJ,04/03/2025 13:47:28,04/03/2025 13:47:51,13:47:51
TF1,Zeeman,04/03/2025 13:47:51,04/03/2025 13:48:12,13:48:12
TF1,Disneyland,04/03/2025 13:48:12,04/03/2025 13:48:32,13:48:32
TF1,Sensodyne,04/03/2025 13:48:32,04/03/2025 13:48:47,13:48:47
TF1,Matmut,04/03/2025 13:48:47,04/03/2025 13:49:17,13:49:17
TF1,Peugeot,04/03/2025 13:49:17,04/03/2025 13:49:47,13:49:47
TF1,JINGLE,04/03/2025 13:49:47,04/03/2025 13:49:50,13:49:50
TF1,tabac-info-service,04/03/2025 13:49:50,04/03/2025 13:50:20,13:50:20
TF1,AUTOPROMO,04/03/2025 13:50:20,04/03/2025 13:50:20,13:50:20
TF1,JINGLE,04/03/2025 13:50:20,04/03/2025 13:50:32,13:50:32
TF1,Intermarché,04/03/2025 13:50:32,04/03/2025 13:51:02,13:51:02
TF1,Castorama,04/03/2025 13:51:02,04/03/2025 13:51:18,13:51:18
TF1,Afflelou,04/03/2025 13:51:18,04/03/2025 13:51:28,13:51:28
TF1,Nivea,04/03/2025 13:51:28,04/03/2025 13:51:49,13:51:49
TF1,Matmut,04/03/2025 13:51:49,04/03/2025 13:51:59,13:51:59
TF1,Calgon,04/03/2025 13:51:59,04/03/2025 13:52:19,13:52:19
TF1,Mixa,04/03/2025 13:52:19,04/03/2025 13:52:35,13:52:35
TF1,FDJ,04/03/2025 13:52:35,04/03/2025 13:52:58,13:52:58
TF1,Ikea,04/03/2025 13:52:58,04/03/2025 13:53:13,13:53:13
TF1,Nestlé,04/03/2025 13:53:13,04/03/2025 13:53:29,13:53:29
TF1,Shark,04/03/2025 13:53:29,04/03/2025 13:53:59,13:53:59
TF1,Président,04/03/2025 13:53:59,04/03/2025 13:54:19,13:54:19
TF1,MG,04/03/2025 13:54:19,04/03/2025 13:54:50,13:54:50
TF1,Puy du fou,04/03/2025 13:54:50,04/03/2025 13:55:10,13:55:10
TF1,CDiscount,04/03/2025 13:55:10,04/03/2025 13:55:31,13:55:31
TF1,JINGLE,04/03/2025 13:55:31,04/03/2025 13:55:33,13:55:33
TF1,Ménocia,04/03/2025 13:55:33,04/03/2025 13:55:42,13:55:42
TF1,Abrisud,04/03/2025 13:55:42,04/03/2025 13:55:50,13:55:50
